"TOA5","CR1000_PROFIL_CO2","CR1000","E7096","CR1000.Std.26","CPU:ICOS_PROFIL_CO2_V8.CR1","53781","Profil_CO2"
"TIMESTAMP","RECORD","CO2_avg(1)","CO2_avg(2)","CO2_avg(3)","CO2_avg(4)","CO2_avg(5)","CO2_avg(6)","H2O_avg(1)","H2O_avg(2)","H2O_avg(3)","H2O_avg(4)","H2O_avg(5)","H2O_avg(6)","Press_avg(1)","Press_avg(2)","Press_avg(3)","Press_avg(4)","Press_avg(5)","Press_avg(6)","Temp_avg(1)","Temp_avg(2)","Temp_avg(3)","Temp_avg(4)","Temp_avg(5)","Temp_avg(6)","H2Odewpoint_avg(1)","H2Odewpoint_avg(2)","H2Odewpoint_avg(3)","H2Odewpoint_avg(4)","H2Odewpoint_avg(5)","H2Odewpoint_avg(6)","Debit_avg(1)","Debit_avg(2)","Debit_avg(3)","Debit_avg(4)","Debit_avg(5)","Debit_avg(6)","Temp_gaine_Avg"
"TS","RN","ppm","ppm","ppm","ppm","ppm","ppm","ppt","ppt","ppt","ppt","ppt","ppt","kPa","kPa","kPa","kPa","kPa","kPa","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","l/min","l/min","l/min","l/min","l/min","l/min",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2014-07-29 15:00:00",13,392.3166,388.8913,387.2205,389.2281,-0.3140532,399.5261,16.01603,15.27228,15.1244,14.94389,0.6077505,0.8426601,99.15959,99.13998,99.13809,99.4175,99.51474,99.51394,50.65994,50.66514,50.6677,50.6703,50.66256,50.66254,13.84422,13.11124,12.9621,12.82139,-28.18577,-24.63475,0.899,0.883,0.875,0.871,0.859,0.855,27.25422
"2014-07-29 15:15:00",14,392.5318,390.9158,390.3422,393.5991,-0.3140532,399.5261,15.58791,15.23656,15.05147,15.99911,0.6077505,0.8426601,99.16237,99.14009,99.13475,99.41325,99.51474,99.51394,50.66254,50.67288,50.6703,50.66772,50.66256,50.66254,13.42823,13.07542,12.88771,13.8673,-28.18577,-24.63475,0.917,0.917,0.905,0.895,0.859,0.855,26.59587
"2014-07-29 15:30:00",15,392.4742,389.8375,386.9994,426.7911,-0.3140532,399.5261,16.5147,15.7277,15.3679,16.38438,0.6077505,0.8426601,99.16261,99.14036,99.13419,99.4178,99.51474,99.51394,50.65996,50.66256,50.66254,50.66254,50.66256,50.66254,14.31763,13.56188,13.20592,14.23494,-28.18577,-24.63475,0.881,0.874,0.867,0.866,0.859,0.855,26.41423
"2014-07-29 15:45:00",16,391.06,388.8959,387.2503,388.7828,-0.3140532,399.5261,15.75962,15.15782,15.10048,14.83486,0.6077505,0.8426601,99.16554,99.13981,99.13737,99.41324,99.51474,99.51394,50.66252,50.66514,50.66254,50.65738,50.66256,50.66254,13.59696,12.9961,12.93777,12.70692,-28.18577,-24.63475,0.885,0.889,0.886,0.895,0.859,0.855,26.41736
"2014-07-29 16:00:00",17,386.9508,385.8778,386.1562,386.7039,-0.3140532,399.5261,16.42251,15.909,15.43419,15.144,0.6077505,0.8426601,99.15085,99.12563,99.11784,99.41486,99.51474,99.51394,50.65994,50.67032,50.66512,50.66514,50.66256,50.66254,14.22918,13.73573,13.26934,13.02214,-28.18577,-24.63475,0.899,0.887,0.887,0.888,0.859,0.855,26.78165
"2014-07-29 16:15:00",18,388.427,388.3668,389.5626,388.4311,-0.3140532,399.5261,16.53751,15.53145,15.04506,14.92742,0.6077505,0.8426601,99.14628,99.11918,99.12291,99.40681,99.51474,99.51394,50.66252,50.66772,50.66514,50.67032,50.66256,50.66254,14.33624,13.36584,12.87934,12.80246,-28.18577,-24.63475,0.899,0.893,0.89,0.896,0.859,0.855,27.88348
"2014-07-29 16:30:00",19,398.3144,390.9468,388.812,388.3035,-0.3140532,399.5261,15.76815,15.16892,14.98768,15.62022,0.6077505,0.8426601,99.14602,99.12667,99.11571,99.40118,99.51474,99.51394,50.66512,50.66254,50.66254,50.66514,50.66256,50.66254,13.60217,13.00529,12.81989,13.49689,-28.18577,-24.63475,0.909,0.904,0.907,0.898,0.859,0.855,27.16853
"2014-07-29 16:45:00",20,393.7289,389.0472,387.7698,392.8503,-0.3140532,399.5261,15.38603,14.98941,14.97023,15.17085,0.6077505,0.8426601,99.13932,99.12132,99.10954,99.39096,99.51474,99.51394,50.65736,50.66514,50.66514,50.66254,50.66256,50.66254,13.22477,12.82249,12.80114,13.04796,-28.18577,-24.63475,0.915,0.906,0.897,0.89,0.859,0.855,26.92457
"2014-07-29 17:00:00",21,393.0436,391.1396,389.639,459.2348,-0.3140532,399.5261,15.58136,14.94891,14.91781,15.78641,0.6077505,0.8426601,99.1409,99.12906,99.11862,99.40115,99.51474,99.51394,50.66252,50.66772,50.66512,50.65736,50.66256,50.66254,13.41841,12.78235,12.74899,13.65949,-28.18577,-24.63475,0.892,0.883,0.87,0.868,0.859,0.855,26.52667
"2014-07-29 17:15:00",22,391.8031,388.8814,388.224,736.7201,-0.3140532,399.5261,15.40423,15.03204,14.78893,15.96938,0.6077505,0.8426601,99.15805,99.1368,99.12772,99.41056,99.51474,99.51394,50.6677,50.66772,50.66252,50.66252,50.66256,50.66254,13.24578,12.86828,12.618,13.83822,-28.18577,-24.63475,0.873,0.859,0.865,0.86,0.859,0.855,26.00046
"2014-07-29 17:30:00",23,392.8751,389.4827,389.8879,872.3942,-0.3140532,399.5261,15.64957,15.26817,15.10669,16.16802,0.6077505,0.8426601,99.16555,99.14647,99.14488,99.41752,99.51474,99.51394,50.65994,50.66514,50.6651,50.6703,50.66256,50.66254,13.48929,13.10808,12.94523,14.02976,-28.18577,-24.63475,0.87,0.866,0.869,0.842,0.859,0.855,25.64608
"2014-07-29 17:45:00",24,392.5633,389.8338,389.2386,1315.133,-0.3140532,399.5261,15.61413,15.18014,15.10566,16.13732,0.6077505,0.8426601,99.17226,99.15295,99.14567,99.42905,99.51474,99.51394,50.65478,50.6703,50.66254,50.66252,50.66256,50.66254,13.45553,13.02063,12.9443,14.00226,-28.18577,-24.63475,0.864,0.863,0.864,0.854,0.859,0.855,25.2907
"2014-07-29 18:00:00",25,393.3033,392.3113,388.6462,1417.507,-0.3140532,399.5261,15.50703,15.1809,15.05393,16.06292,0.6077505,0.8426601,99.17732,99.15533,99.15074,99.42555,99.51474,99.51394,50.65994,50.65736,50.65738,50.66254,50.66256,50.66254,13.35072,13.02179,12.89266,13.93047,-28.18577,-24.63475,0.865,0.858,0.862,0.86,0.859,0.855,25.02673
