;;;;;Ray1;Ray2;Ray3;Ray4;Ray5;Ray6;Ray7;Ray8;Ray9;Ray10;Ray11;Ray12;Ray13;Ray14;Ray15;Ray16;Ray17;Ray18;Ray19;Ray20;Ray21;Ray22;Ray23;Ray24;Ray25;Ray26;Ray27;Ray28;Ray29;Ray30;Ray31;Ray32;Ray33;Ray34;Ray35;Ray36;Ray37;Ray38;Ray39;Ray40;Ray41;Ray42;Ray43;Ray44;Ray45;Ray46;Ray47;Ray48;Ray49;Ray50;Ray51;Ray52;Ray53;Ray54;Ray55;Ray56;Ray57;Ray58;Ray59;Ray60;Ray61;Ray62;Ray63;Ray64;Ray65;Ray66;Ray67;Ray68;Ray69;Ray70;Ray71;Ray72;Ray73;Ray74;Ray75;Ray76;Ray77;Ray78;Ray79;Ray80;Ray81;Ray82;Ray83;Ray84;Ray85;Ray86
101;2010;106;1530;0;312.4;240.7;817;430.7;251.3;227.9;591.2;202.8;507.6;487.5;342.5;255.1;197.5;273.9;439.4;387.9;181.3;231;364;476.3;1189;1184;338.1;753.8;224.7;848;259;100.6;142.3;340.8;103.7;113.4;222.1;599.3;349.4;385.6;478.9;151.4;156.6;392.5;236.3;71.55;1096;232.4;103.1;189.7;328.5;124.1;331.6;375.2;122.2;191.8;235.5;186.7;635;138;202.6;180.2;124.3;254;525.3;128.4;154.3;477.7;631.1;112.9;407.7;132.7;108.1;258;112.8;283.7;681.3;343.1;118.8;408.2;204.9;450.3;166.2;201.7;251.9;178.9;163.1;144.1;184.8;507.1
101;2010;106;1545;0;210.9;158.2;603;349.6;207.4;282.2;287.8;204.9;415.5;346.9;289;348.6;156.3;251.9;350.5;279.3;183.7;117.6;306;588.7;956;960;393.3;398.3;171.6;687.1;179.4;88.1;131.4;234;78.68;88.5;363.2;616;305.4;326.7;401.7;124.6;183.8;404.9;176.7;52.63;854;259.1;102.5;165;268.5;137.8;102.3;157.1;98.9;199.9;255.2;177.8;340.9;90;145.1;151.4;76.94;196.3;312.9;98.7;117.6;384.4;794.6;107.7;366;182.5;116;190;86.4;222.7;449.8;198.4;107.3;424.2;180;272.7;86.6;203.3;138.6;139.7;123.6;101.1;140.7;1031
101;2010;106;1600;0;144;124.7;314.3;257.8;199.6;218.8;191.7;169.8;256.8;212.5;282.4;191.3;131.1;179.3;303;200.8;153.4;113.2;166.2;494.4;803;851;341.8;568.5;112.9;519.7;185;89.6;123.7;199.2;76.98;88.2;309.6;416.7;198.3;255.7;224.5;118;145.4;293.5;173.5;49.9;469.5;297.8;85.7;148.1;183.5;152.3;98;124.1;99.8;197.6;146.3;196.7;321.3;74.86;191.7;110.5;73.8;178;232.2;94.8;118.7;376.9;856;145.8;211.7;162;106.4;135.2;87.7;186.8;375.4;143.8;165;419.9;133;296.6;82.6;110.2;155.9;147.6;124.3;98;138.8;640.2
101;2010;106;1615;0;145.4;117.5;561.3;255.3;203.4;237.7;224.4;172.5;254.3;152.5;305.7;217.9;166.4;165.9;328.2;191.4;131.6;113.1;264.6;496.6;815;918;359.1;548.2;102.5;489.2;167.9;91.4;167;198.6;74.92;85.1;319.9;509.4;206.5;173.7;210.2;109.8;192.5;294.5;164.4;49.65;320.2;315;75.67;177.9;143.4;161.7;93.4;102;93.7;168.7;105;148.4;283.7;74.67;277.9;150.3;70.34;148.5;200.1;92.6;122.6;363.6;914;202.2;304.4;163;81.2;117.3;80.2;194.9;348.6;180.7;206.6;382.3;217.6;270.6;89.8;133.9;140.8;154.4;117.8;92.1;125.9;541.7
101;2010;106;1630;0;173.3;103.5;342.3;219.8;114.8;185;286.3;144.1;163;118.2;390.5;132.5;81.5;148.2;290.7;211.3;111.9;180;172.9;395.4;322.6;879;332.2;376.9;85.2;356.3;107.4;55.03;147.5;196.1;69.64;80.1;203.7;173.8;134.1;122.8;271.5;61.08;227.9;182.1;154.1;46.77;313.5;182.2;59.31;180.7;103.2;134;87.3;102;89.4;124.1;140;154.5;238.6;133.1;219.6;162.4;68.13;129.4;133.2;87.1;112.4;347.1;716;178.9;395.4;143.4;64.14;159.2;74.74;190.6;221.8;158.6;160.8;204.2;245.4;270.9;93.1;224.9;207.5;160.1;110.7;85.2;114;414.6
101;2010;106;1645;0;188.1;174.1;646.1;115.7;111.4;196.2;253.2;116.7;159.4;257.3;262.9;333.8;59.8;134.7;218.6;136.9;118.7;247.3;379.5;241.2;446.9;932;407;386;200.7;422.5;115.1;50.74;165.1;127;88.3;81.2;98;144.7;389.7;128.8;205.4;60.07;246.4;206.8;152.6;48.37;318.4;173.8;79.98;170.1;140.7;146.4;85.7;134.1;89.3;185.7;210.7;81.2;360.4;168.4;258.2;175.4;69.16;126.9;131.5;89.8;117;351.6;367.8;242.3;460.7;166.3;86.7;257.7;71.28;229.2;195.2;195.5;168.8;212.6;240;274.9;126.5;219.5;145.5;214.3;115.1;84;109.3;385.2
101;2010;106;1700;0;83.6;200.5;712.8;92;156.1;157.9;146.4;45.39;192.8;308.7;152.5;296.2;101.2;129.9;100.1;71.02;180.7;135.8;337.8;155;335;859;258.4;236.6;175.6;165;162.9;60.19;220.5;86.3;98.4;83.1;86.7;208.9;212.3;125.8;74.86;60.25;196.4;287.1;149.3;47.98;335.3;209.2;60.96;217.3;206.6;118.7;85.6;121.4;83.8;172.7;188.8;147.1;321.1;117.5;225.6;136.7;64.94;131.1;128.2;92.5;118.3;340.4;500.3;160.1;436.3;130.9;103.9;196.4;69.6;196.1;204.1;256.5;264;181.6;144.5;233;108.3;91.8;105.7;188.2;190.2;83;104.9;536.4
101;2010;106;1715;0;156.4;104.5;633.8;179.2;141.5;95.7;130.6;40.43;201;402.5;260;201.6;60.18;77.45;150.1;119.9;147.6;116.8;270.7;119.7;662.1;783;90;373.5;157;141.6;150.1;44.26;84;154.8;96.4;72.89;80.4;202.9;141;179;118.7;50.74;75.97;168.5;122.5;42.78;713.6;210.8;49.11;188.5;137.8;74.35;69.7;149.6;174.7;80.8;116.2;166.2;272.1;124.5;124;88.3;63.01;107.3;103.5;94.8;127.5;306.4;732.4;81.9;262.7;91.4;101.7;200.2;56.34;130.9;139.4;180.8;309.5;137.5;95.5;248.4;73.19;84.1;79.18;106.5;353.9;69.33;87.2;703.7
101;2010;106;1730;0;124.7;151.6;412.6;111.6;83.3;88.4;134.2;37.92;151.8;204.6;140.1;74.91;31.64;80.5;107;71.36;84;124.6;167.9;131.3;500.2;543.3;189.6;266.3;96.2;126.6;138.5;40.15;122.7;127.4;76.31;63.5;81.5;143.4;145.7;190;80.7;44.46;60.32;198.9;119;37.56;474.8;105.4;37.98;150.2;97.4;56.3;62.1;86.5;84.8;42.48;72.01;115.9;151.5;54.96;98.6;57.19;67.31;95.9;91.2;66.05;119.9;264.2;511.6;65.97;245.2;58.97;57.04;83;50.43;71.87;115.5;184.7;105.1;82;89.6;172.9;44.71;148.8;52.7;110.6;220.8;61.04;79.08;564.9
101;2010;106;1745;0;124.3;197.3;537.1;135.2;69.46;111.9;132.7;45.45;134.1;184.4;118.1;76.54;40.56;90.9;141.1;64.69;90.5;180.1;184;141.5;622.6;570.3;216.6;372.9;141.8;158.2;209.3;59.06;138.9;205.9;83.5;64.34;84.7;180;160.6;283.9;64.65;49.5;68.69;275.1;148;42.11;616.2;74.6;42.56;138.5;93.1;75.9;62.79;83.3;115.5;42.87;105.9;194.5;193.6;91.3;107;68.25;69.18;95.8;90.3;94.5;130.1;277.5;587.9;85.4;217.5;80.8;50.55;102.1;57.75;72.98;110.8;229.9;135.3;111.8;110;195;36.03;209.6;75.44;116.8;304.9;60.28;112;696.3
101;2010;106;1800;0;127.2;114.3;406.4;62;51.12;75.66;88.3;36.01;106.3;128.9;80.8;98.2;58.45;73.34;104.4;52.68;81.7;112.5;141.1;136.4;477.2;330.3;82.5;193.4;135.7;166.5;130.8;51.45;67.01;180.6;147.7;56.79;77.42;170.2;130.6;167.6;47.54;41.19;43.85;135;134.3;33.63;469.1;81.2;29.14;158.7;67.05;69.88;55.21;88.1;54.76;49.64;50.96;120.6;208.2;69.14;73.06;45.25;57.63;99;79.15;68.08;76.13;243.9;335.3;59.67;97.4;49.4;48.27;63.37;42.98;68.43;96.2;130.3;101.4;73.78;76.64;126.9;29.63;54.68;51.16;80;128.8;51.94;67.49;424.6
101;2010;106;1815;0;128.1;112.6;327.9;63.79;58.74;79.94;97.1;35.29;115.9;128.2;85.6;90.2;45.45;76.74;110.7;55.22;78.76;105;133.1;152.2;390.7;312.1;76.1;159.2;100.5;170.5;83.9;49.24;65.66;154.1;113.7;61.48;81.2;105.7;116.7;164.6;47.15;49.44;44.26;126.7;149.5;38.58;400.6;73.38;25.23;113.2;71.55;53.41;61.38;73.14;57.47;58.45;53.91;59.27;109.5;31.75;70.1;50.66;75.56;120.3;89.6;63.06;83.9;264.5;414.2;50.5;106.7;46.22;39.97;88.6;48.58;78.95;110.7;82.8;62.6;67.9;106.9;130;30.7;86.5;47.64;70.24;95.7;61.19;76.81;247.8
101;2010;106;1830;0;70.84;135.6;123.9;52.92;43.15;62.27;75.76;27.43;91.8;65.21;78.76;55.76;35.24;53.38;103.2;49.41;60.29;61.45;85.2;106.3;391.7;415.2;73.68;157.3;57.82;96.8;42.61;42.63;45.47;79.38;68.57;48.34;64.43;63.18;69.29;96.5;36.99;36.89;37.52;106.1;115.5;32.52;263.1;53.66;19.64;121.6;52.69;44.03;45.37;46.7;42.57;45.78;43.76;72.55;109.7;25.17;60.05;42.27;74.73;83.7;66.41;46;65.53;212.9;403.9;39.98;114.9;38.42;29.34;58.81;33.19;69.91;81.6;81.1;49.14;51.49;144.2;74.83;23.58;70.03;48.05;54.09;76.23;43.51;53.01;470.7
101;2010;106;1845;0;41.64;91.8;132.3;32.43;34.95;44.43;58.62;20.89;67.51;56.59;55.59;57.21;20.64;40.97;48.07;32.13;42.03;42.79;64.15;69.8;297.5;326.6;50.13;86.7;42.03;63.64;28.59;24.42;36.06;42.25;71.64;40.53;37.76;62.77;66.09;52.88;28.08;30;26.94;71.03;96.7;23.32;260.2;42.35;16.77;98.6;41.53;30.21;37.84;37.82;35.03;36.22;33.65;49.1;48.23;24.39;50.15;37.13;75.85;60.79;55.69;38.09;54.71;181.1;249.4;36.44;61.54;32.6;31.69;42.85;27.36;62.67;71.16;55.55;42.15;44.54;64.93;60.26;24.25;59.66;37.26;37.77;78.35;36.15;44.5;315.5
101;2010;106;1900;0;59.15;61.96;131.1;37.76;42;45.71;68.49;22.29;78.55;56.66;56.87;62.03;19.85;46.3;53.16;36.39;53.17;44.74;80.6;70.17;324.1;349.9;41.02;69.37;47.51;72.27;38.11;27.93;40.32;47.72;100.8;50.22;41.6;65.23;76.82;52.81;30.52;37.64;28.83;86.2;114;27.05;211.3;48.9;19.92;101.8;54.5;40.48;44.61;43.07;38.12;35.38;40.32;40.01;55.4;23.86;60.54;49.97;50;72.43;68.26;44.86;65.85;200.5;240.8;36.18;58.99;36.81;44.11;46.8;32.01;75.5;86.2;51.42;46.21;48.14;98.5;64.22;26.44;57.95;37.45;45.45;72.15;43.92;51.82;270.4
101;2010;106;1915;0;36.11;40.79;99.2;26.31;28.75;30.79;45.56;15.69;51.78;39.14;39.66;36.74;19.38;31.68;46.23;24.5;34.45;31.51;55.41;49.06;218.8;242.9;25.92;48.4;32.56;50.19;23.69;19.23;27.67;35.64;42.16;38.14;29.11;52.64;53.73;37.74;22.13;24.9;20.9;56.69;120.4;18.03;117.3;33.09;15.32;53.31;31.82;23.91;36.07;28.8;26.68;21.43;32.43;22.79;37.21;15.7;39.2;30.14;26.99;48.5;48.39;31;46.07;146.5;196.9;24.06;39.7;24.67;19.7;32.95;21.59;42.38;59.33;34.72;28.67;33.08;51.85;46.19;16.28;31.19;21.69;30.13;40.19;31.8;35.95;209.8
